City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
168,turochak,52.2576,87.1224,6.99,57,17,1.52,RU,1726545889
169,puerto aysen,-45.4,-72.7,4.41,99,99,1.91,CL,1726545890
170,zainsk,55.3195,52.0694,14.55,65,0,2.47,RU,1726545891
171,tolanaro,-25.0319,46.9987,19.04,100,40,1.03,MG,1726545892
172,lihue,21.9789,-159.3672,26.31,80,75,5.14,US,1726545893
173,great bend,38.3645,-98.7648,25.07,54,0,7.2,US,1726545894
174,ermoupolis,37.4423,24.9425,22.39,55,0,0.0,GR,1726545896
175,chandrakona,22.7333,87.5167,29.78,74,100,6.07,IN,1726545897
176,kailua-kona,19.6406,-155.9956,29.04,86,40,4.12,US,1726545898
177,lappeenranta,61.0587,28.1887,14.03,100,100,1.03,FI,1726545899
178,batamshinskiy,50.5594,58.2747,8.39,51,0,9.24,KZ,1726545900
179,ribeira grande,38.5167,-28.7,22.65,89,100,4.92,PT,1726545901
180,puerto ayora,-0.7393,-90.3518,21.35,88,72,4.93,EC,1726545902
181,aitape,-3.1374,142.3475,29.04,79,44,3.64,PG,1726545903
182,sisimiut,66.9395,-53.6735,1.88,77,97,2.14,GL,1726545905
183,saacow,1.6279,42.4407,24.87,82,99,5.22,SO,1726545906
184,hobyo,5.3505,48.5268,25.64,85,57,8.58,SO,1726545908
185,constantia,44.1833,28.65,12.61,62,9,5.81,RO,1726545909
186,sal rei,16.1833,-22.9167,25.92,81,52,4.28,CV,1726545912
187,quimili,-27.6333,-62.4167,16.24,38,1,5.74,AR,1726545913
188,daru,-9.0763,143.2092,25.28,87,100,6.02,PG,1726545914
189,touros,-5.1989,-35.4608,24.07,80,3,6.15,BR,1726545915
190,dan sadau,11.2962,6.4952,21.93,94,93,0.19,NG,1726545916
191,qa'en,33.7265,59.1844,20.2,28,4,1.01,IR,1726545917
192,rossosh',51.1209,38.5116,14.54,50,8,4.32,RU,1726545918
193,novyy urgal,51.0736,132.5642,18.27,34,31,8.11,RU,1726545919
194,hawaiian paradise park,19.5933,-154.9731,26.73,83,40,0.0,US,1726545920
195,vuktyl,63.8567,57.3094,15.49,93,100,3.57,RU,1726545921
196,bamboo flat,11.7,92.7167,30.05,84,75,4.63,IN,1726545922
197,katsuura,35.1333,140.3,28.02,77,45,5.77,JP,1726545924
198,acapulco de juarez,16.8634,-99.8901,29.9,79,100,2.06,MX,1726545925
199,chibougamau,49.9168,-74.3659,21.79,60,40,4.63,CA,1726545927
200,berezovyy,51.6667,135.7,18.94,34,21,6.86,RU,1726545929
201,tralee,52.2704,-9.7026,12.28,88,46,2.09,IE,1726545930
202,kolokani,13.5728,-8.0339,22.03,91,95,2.19,ML,1726545931
203,boyolangu,-8.1181,111.8935,28.92,51,32,5.43,ID,1726545932
